จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อ่างทอง,Ang Thong,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลพบุรี,Lopburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สิงห์บุรี,Singburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชัยนาท,Chainat,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สระบุรี,Saraburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชลบุรี,Chonburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ระยอง,Rayong,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
จันทบุรี,Chanthaburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตราด,Trat,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ฉะเชิงเทรา,Chachoengsao,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปราจีนบุรี,Prachinburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครนายก,Nakhon Nayok,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สระแก้ว,Sa Kaeo,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครราชสีมา,Nakhon Ratchasima,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
บุรีรัมย์,Buriram,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุรินทร์,Surin,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ศรีสะเกษ,Si Sa Ket,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,Ubon Ratchathani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ยโสธร,Yasothon,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชัยภูมิ,Chaiyaphum,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อำนาจเจริญ,Amnat Charoen,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
บึงกาฬ,Bueng Kan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
หนองบัวลำภู,Nong Bua Lamphu,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ขอนแก่น,Khon Kaen,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุดรธานี,Udon Thani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เลย,Loei,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
หนองคาย,Nong Khai,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
มหาสารคาม,Maha Sarakham,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ร้อยเอ็ด,Roi Et,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กาฬสินธุ์,Kalasin,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สกลนคร,Sakon Nakhon,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครพนม,Nakhon Phanom,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
มุกดาหาร,Mukdahan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
